,STATE,WINNER,PARTY,SYMBOL,GENDER,AGE,CATEGORY,EDUCATION,"TOTAL
VOTES",TOTAL ELECTORS
2164,Bihar,Loser,RSPSR,Truck,MALE,64.0,GENERAL,Doctorate,10051,1612300
2163,Bihar,Loser,IND,Cup & Saucer,MALE,42.0,GENERAL,10th Pass,13934,1612300
2162,Bihar,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,14434,1612300
2161,Bihar,Loser,IND,BUCKET,MALE,51.0,GENERAL,10th Pass,16359,1612300
1720,Bihar,Loser,RAHIS,Helicopter,MALE,34.0,SC,8th Pass,12080,1658672
1719,Bihar,Loser,SSD,Saw,FEMALE,42.0,GENERAL,Literate,14027,1658672
1718,Bihar,Loser,BNDl,Ganna Kisan,MALE,30.0,GENERAL,8th Pass,17741,1658672
2185,Bihar,Loser,RJD,Hurricane Lamp,MALE,72.0,GENERAL,Doctorate,333631,1735983
137,Bihar,Loser,SSD,Saw,MALE,70.0,GENERAL,12th Pass,12598,2089353
136,Bihar,Loser,IND,Football,MALE,81.0,GENERAL,12th Pass,13773,2089353
135,Bihar,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,21825,2089353
251,Bihar,Loser,IND,Gas Cylinder,FEMALE,61.0,GENERAL,Post Graduate,103729,1699394
998,Bihar,Loser,SJDD,Ganna Kisan,MALE,65.0,GENERAL,Graduate,25630,1852417
250,Bihar,Loser,RJD,Hurricane Lamp,MALE,65.0,GENERAL,Post Graduate,277256,1699394
1142,Bihar,Loser,IND,Auto- Rickshaw,MALE,31.0,GENERAL,Graduate,51847,1676454
2187,Bihar,Loser,IND,Bead Necklace,MALE,36.0,GENERAL,Graduate,21857,1735983
2188,Bihar,Loser,IND,Cot,FEMALE,37.0,GENERAL,Not Available,16738,1735983
2189,Bihar,Loser,BSP,Elephant,MALE,46.0,GENERAL,12th Pass,14351,1735983
2190,Bihar,Loser,IND,Camera,MALE,46.0,GENERAL,Graduate Professional,11981,1735983
2191,Bihar,Winner,JD(U),Arrow,MALE,62.0,GENERAL,10th Pass,602660,1665502
2192,Bihar,Loser,INC,Hand,MALE,32.0,GENERAL,Graduate,248044,1665502
1568,Bihar,Winner,LJP,Bungalow,MALE,36.0,GENERAL,Graduate,495684,1899747
1569,Bihar,Loser,RJD,Hurricane Lamp,FEMALE,53.0,GENERAL,Literate,347612,1899747
1570,Bihar,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,35147,1899747
2193,Bihar,Loser,BSP,Elephant,MALE,42.0,GENERAL,Graduate Professional,62963,1665502
2194,Bihar,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,34338,1665502
2195,Bihar,Loser,IND,Air Conditioner,MALE,54.0,GENERAL,Others,14870,1665502
2196,Bihar,Loser,RAHIS,Helicopter,MALE,35.0,GENERAL,8th Pass,12811,1665502
2184,Bihar,Winner,LJP,Bungalow,FEMALE,48.0,GENERAL,10th Pass,568215,1735983
2197,Bihar,Loser,SHS,Cauliflower,FEMALE,38.0,GENERAL,Post Graduate,11933,1665502
1911,Bihar,Loser,IND,Chimney,MALE,51.0,GENERAL,12th Pass,10679,1686215
183,Bihar,Loser,SPL,Tractor Chalata Kisan,MALE,46.0,GENERAL,Graduate,11713,1742883
182,Bihar,Loser,IND,Balloon,MALE,58.0,SC,Literate,11987,1742883
181,Bihar,Loser,PPID,Table,MALE,35.0,GENERAL,Post Graduate,13680,1742883
180,Bihar,Loser,IND,Almirah,MALE,43.0,GENERAL,Graduate,15014,1742883
1884,Bihar,Loser,IND,Cup & Saucer,MALE,48.0,SC,10th Pass,10029,1787878
1883,Bihar,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,18988,1787878
1140,Bihar,Winner,LJP,Bungalow,MALE,52.0,GENERAL,Graduate,510193,1676454
179,Bihar,Loser,AHFBK,CHESS BOARD,MALE,42.0,ST,Graduate,16589,1742883
178,Bihar,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,22424,1742883
177,Bihar,Loser,IND,Air Conditioner,MALE,62.0,GENERAL,Graduate,24832,1742883
1141,Bihar,Loser,VSIP,Boat with Man and Sail,MALE,40.0,GENERAL,8th Pass,261623,1676454
249,Bihar,Winner,JD(U),Arrow,MALE,58.0,GENERAL,Post Graduate,477788,1699394
997,Bihar,Loser,IND,Gas Cylinder,MALE,29.0,GENERAL,Graduate Professional,29506,1852417
2186,Bihar,Loser,IND,Apple,FEMALE,26.0,GENERAL,8th Pass,27497,1735983
995,Bihar,Winner,JD(U),Arrow,MALE,63.0,GENERAL,10th Pass,602391,1852417
1646,Bihar,Loser,BSP,Elephant,MALE,46.0,GENERAL,Graduate,14045,1925479
1657,Bihar,Winner,BJP,Lotus,MALE,64.0,GENERAL,Post Graduate,607506,2146008
1096,Bihar,Loser,RSPSR,Truck,FEMALE,43.0,GENERAL,12th Pass,8851,1771254
1658,Bihar,Loser,INC,Hand,MALE,73.0,GENERAL,Graduate,322849,2146008
996,Bihar,Loser,RJD,Hurricane Lamp,MALE,51.0,GENERAL,Literate,279440,1852417
1095,Bihar,Loser,ANC,Gramophone,MALE,48.0,GENERAL,Post Graduate,12431,1771254
1145,Bihar,Loser,IND,Gas Cylinder,MALE,44.0,GENERAL,Graduate,16097,1676454
1146,Bihar,Loser,AAM,CHAPATI ROLLER,MALE,38.0,GENERAL,8th Pass,10747,1676454
1094,Bihar,Loser,BSP,Elephant,MALE,45.0,GENERAL,12th Pass,21715,1771254
1093,Bihar,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,22104,1771254
1092,Bihar,Loser,CPI(ML)(L),Flag with Three Stars,MALE,63.0,GENERAL,Graduate,24932,1771254
1091,Bihar,Loser,BLSP,Ceiling Fan,MALE,56.0,GENERAL,Post Graduate,313866,1771254
1144,Bihar,Loser,BMUP,Cot,MALE,35.0,SC,12th Pass,16692,1676454
1090,Bihar,Winner,JD(U),Arrow,MALE,64.0,GENERAL,8th Pass,398408,1771254
1715,Bihar,Winner,BJP,Lotus,MALE,69.0,GENERAL,Graduate,577787,1658672
1710,Bihar,Loser,BSP,Elephant,MALE,49.0,ST,Graduate,16537,1765312
1709,Bihar,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,18569,1765312
1708,Bihar,Loser,IND,Pan,MALE,29.0,GENERAL,Others,21374,1765312
1707,Bihar,Loser,IND,Coat,MALE,32.0,GENERAL,12th Pass,31795,1765312
1706,Bihar,Loser,INC,Hand,MALE,66.0,GENERAL,12th Pass,369463,1765312
1705,Bihar,Winner,JD(U),Arrow,MALE,43.0,GENERAL,12th Pass,632924,1765312
1882,Bihar,Loser,BSP,Elephant,MALE,35.0,SC,Graduate,86406,1787878
1881,Bihar,Loser,INC,Hand,FEMALE,74.0,SC,Post Graduate,329055,1787878
1880,Bihar,Winner,BJP,Lotus,MALE,63.0,SC,"Post Graduate
",494800,1787878
1905,Bihar,Loser,RJD,Hurricane Lamp,MALE,52.0,GENERAL,Post Graduate,268318,1686215
1904,Bihar,Winner,BJP,Lotus,FEMALE,69.0,GENERAL,Graduate Professional,608678,1686215
1716,Bihar,Loser,BLSP,Ceiling Fan,MALE,27.0,GENERAL,Not Available,284139,1658672
2157,Bihar,Winner,BJP,Lotus,MALE,53.0,GENERAL,Graduate,543906,1612300
1717,Bihar,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,22706,1658672
1644,Bihar,Winner,BJP,Lotus,MALE,58.0,GENERAL,Graduate,509557,1925479
132,Bihar,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,20618,1805439
1122,Bihar,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,20584,1653353
133,Bihar,Winner,BJP,Lotus,MALE,66.0,GENERAL,Graduate Professional,566480,2089353
130,Bihar,Winner,BJP,Lotus,MALE,52.0,GENERAL,10th Pass,618434,1805439
1906,Bihar,Loser,IND,Ganna Kisan,MALE,73.0,GENERAL,12th Pass,18426,1686215
1907,Bihar,Loser,IND,Table,MALE,44.0,GENERAL,12th Pass,13704,1686215
2158,Bihar,Loser,BLSP,Ceiling Fan,MALE,56.0,GENERAL,Post Graduate,266628,1612300
1121,Bihar,Loser,INC,Hand,MALE,68.0,GENERAL,Graduate,502220,1653353
131,Bihar,Loser,RJD,Hurricane Lamp,MALE,50.0,GENERAL,Graduate,481193,1805439
1120,Bihar,Winner,JD(U),Arrow,MALE,51.0,GENERAL,Graduate,559423,1653353
1640,Bihar,Loser,BLSP,Ceiling Fan,MALE,41.0,GENERAL,12th Pass,309800,1633824
1641,Bihar,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,45699,1633824
1642,Bihar,Loser,BSP,Elephant,MALE,39.0,GENERAL,10th Pass,11427,1633824
1643,Bihar,Loser,IND,Cauliflower,MALE,39.0,GENERAL,10th Pass,10801,1633824
2159,Bihar,Loser,CPI(M),"Hammer, Sickle and Star",MALE,49.0,GENERAL,Post Graduate,27577,1612300
2160,Bihar,Loser,IND,Helicopter,FEMALE,31.0,GENERAL,12th Pass,23590,1612300
134,Bihar,Loser,CPI(ML)(L),Flag with Three Stars,MALE,36.0,GENERAL,Post Graduate,419195,2089353
1639,Bihar,Winner,BJP,Lotus,MALE,54.0,GENERAL,Post Graduate,603706,1633824
1645,Bihar,Loser,RJD,Hurricane Lamp,FEMALE,42.0,GENERAL,Graduate Professional,470236,1925479
483,Chandigarh,Loser,AAP,Broom,MALE,78.0,GENERAL,Post Graduate,13781,646729
484,Chandigarh,Loser,BSP,Elephant,MALE,44.0,SC,Others,7396,646729
481,Chandigarh,Winner,BJP,Lotus,FEMALE,66.0,GENERAL,Post Graduate,231188,646729
482,Chandigarh,Loser,INC,Hand,MALE,70.0,GENERAL,Graduate Professional,184218,646729
1071,Chhattisgarh,Winner,BJP,Lotus,MALE,61.0,ST,Post Graduate,546233,1558952
1073,Chhattisgarh,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,26713,1558952
1227,Chhattisgarh,Loser,IND,Cauliflower,MALE,44.0,GENERAL,10th Pass,13695,1508840
1225,Chhattisgarh,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,19305,1508840
1072,Chhattisgarh,Loser,INC,Hand,MALE,52.0,ST,Post Graduate,539319,1558952
1768,Chhattisgarh,Loser,INC,Hand,MALE,60.0,GENERAL,8th Pass,550421,1716459
1769,Chhattisgarh,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,19436,1716459
1770,Chhattisgarh,Loser,BSP,Elephant,FEMALE,45.0,SC,Post Graduate,17145,1716459
1340,Chhattisgarh,Loser,IND,Glass Tumbler,MALE,33.0,GENERAL,12th Pass,15491,1637951
1339,Chhattisgarh,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,21241,1637951
1338,Chhattisgarh,Loser,INC,Hand,MALE,66.0,GENERAL,12th Pass,526069,1637951
1337,Chhattisgarh,Winner,BJP,Lotus,MALE,51.0,GENERAL,Graduate,616580,1637951
982,Chhattisgarh,Loser,INC,Hand,MALE,42.0,SC,Graduate,489535,1897134
1223,Chhattisgarh,Loser,BJP,Lotus,MALE,52.0,GENERAL,10th Pass,497061,1508840
1224,Chhattisgarh,Loser,GGP,Saw,MALE,45.0,ST,Graduate Professional,37417,1508840
679,Chhattisgarh,Winner,BJP,Lotus,MALE,59.0,GENERAL,Graduate,849374,1940269
680,Chhattisgarh,Loser,INC,Hand,FEMALE,61.0,GENERAL,12th Pass,457396,1940269
681,Chhattisgarh,Loser,BSP,Elephant,FEMALE,25.0,GENERAL,Post Graduate,20124,1940269
1767,Chhattisgarh,Winner,BJP,Lotus,MALE,51.0,GENERAL,Graduate Professional,662387,1716459
1226,Chhattisgarh,Loser,BSP,Elephant,MALE,45.0,GENERAL,12th Pass,15880,1508840
981,Chhattisgarh,Winner,BJP,Lotus,MALE,52.0,SC,Graduate Professional,572790,1897134
1222,Chhattisgarh,Winner,INC,Hand,FEMALE,65.0,GENERAL,Post Graduate,523310,1508840
330,Chhattisgarh,Winner,INC,Hand,MALE,38.0,ST,Post Graduate,402527,1379122
331,Chhattisgarh,Loser,BJP,Lotus,MALE,46.0,ST,10th Pass,363545,1379122
332,Chhattisgarh,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,41667,1379122
333,Chhattisgarh,Loser,CPI(M),Ears of Corn And Sickle,MALE,42.0,ST,Post Graduate,38395,1379122
334,Chhattisgarh,Loser,BSP,Elephant,MALE,55.0,ST,8th Pass,30449,1379122
983,Chhattisgarh,Loser,BSP,Elephant,MALE,60.0,SC,Post Graduate,131387,1897134
1879,Chhattisgarh,Loser,BSP,Elephant,FEMALE,40.0,ST,Post Graduate,18534,1655239
335,Chhattisgarh,Loser,SHS,Bow & Arrow,MALE,38.0,ST,5th Pass,13930,1379122
336,Chhattisgarh,Loser,APoI,Coat,MALE,29.0,ST,Post Graduate,12421,1379122
1877,Chhattisgarh,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,29265,1655239
436,Chhattisgarh,Loser,BSP,Elephant,MALE,47.0,GENERAL,12th Pass,21180,1876953
434,Chhattisgarh,Winner,BJP,Lotus,MALE,51.0,GENERAL,Graduate Professional,634559,1876953
1744,Chhattisgarh,Loser,INC,Hand,MALE,53.0,GENERAL,Post Graduate,489664,2111738
435,Chhattisgarh,Loser,INC,Hand,MALE,51.0,GENERAL,Graduate Professional,492796,1876953
337,Chhattisgarh,Loser,ABSKP,Plastering Trowel,MALE,40.0,ST,12th Pass,9912,1379122
1878,Chhattisgarh,Loser,GGP,Saw,FEMALE,44.0,ST,Graduate Professional,24463,1655239
1876,Chhattisgarh,Loser,INC,Hand,MALE,72.0,ST,Post Graduate,505838,1655239
1875,Chhattisgarh,Winner,BJP,Lotus,FEMALE,55.0,ST,12th Pass,663711,1655239
1739,Chhattisgarh,Winner,BJP,Lotus,FEMALE,43.0,ST,12th Pass,658335,1733805
1742,Chhattisgarh,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,15729,1733805
1740,Chhattisgarh,Loser,INC,Hand,MALE,42.0,ST,Post Graduate,592308,1733805
1743,Chhattisgarh,Winner,BJP,Lotus,MALE,57.0,GENERAL,Graduate,837902,2111738
1741,Chhattisgarh,Loser,BSP,Elephant,MALE,58.0,ST,Graduate,26596,1733805
574,Dadra & Nagar Haveli,Winner,IND,Batsman,MALE,56.0,ST,Graduate,90421,250029
579,Dadra & Nagar Haveli,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,2950,250029
576,Dadra & Nagar Haveli,Loser,INC,Hand,MALE,40.0,ST,12th Pass,8608,250029
577,Dadra & Nagar Haveli,Loser,SHS,Bow & Arrow,FEMALE,35.0,ST,Graduate Professional,4000,250029
578,Dadra & Nagar Haveli,Loser,IND,Throwing a Javelin,MALE,33.0,ST,Graduate,3630,250029
580,Dadra & Nagar Haveli,Loser,IND,Helicopter,MALE,31.0,ST,12th Pass,2287,250029
575,Dadra & Nagar Haveli,Loser,BJP,Lotus,MALE,46.0,ST,5th Pass,81420,250029
589,Daman & Diu,Winner,BJP,Lotus,MALE,63.0,GENERAL,8th Pass,37597,121740
590,Daman & Diu,Loser,INC,Hand,MALE,44.0,GENERAL,Others,27655,121740
591,Daman & Diu,Loser,IND,SHIP,MALE,42.0,GENERAL,Graduate,19938,121740
592,Daman & Diu,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,1487,121740
1595,Goa,Loser,AAP,Broom,MALE,59.0,GENERAL,Graduate,4756,556761
1593,Goa,Loser,INC,Hand,MALE,52.0,GENERAL,Post Graduate,164597,556761
1592,Goa,Winner,BJP,Lotus,MALE,66.0,GENERAL,Graduate,244844,556761
1992,Goa,Winner,INC,Hand,MALE,73.0,GENERAL,Graduate Professional,201561,579352
1993,Goa,Loser,BJP,Lotus,MALE,52.0,GENERAL,Graduate Professional,191806,579352
1994,Goa,Loser,AAP,Broom,MALE,56.0,GENERAL,Graduate Professional,20891,579352
1995,Goa,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,5436,579352
1594,Goa,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,7063,556761
304,Gujarat,Loser,INC,Hand,MALE,53.0,ST,Graduate Professional,526826,1826526
1021,Gujarat,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,15599,1642864
1022,Gujarat,Winner,BJP,Lotus,MALE,40.0,SC,Post Graduate,637034,1744321
1685,Gujarat,Winner,BJP,Lotus,MALE,57.0,GENERAL,10th Pass,563881,1662368
1566,Gujarat,Winner,BJP,Lotus,MALE,64.0,GENERAL,10th Pass,972739,1971658
385,Gujarat,Winner,BJP,Lotus,MALE,61.0,ST,Post Graduate,637795,1564519
386,Gujarat,Loser,INC,Hand,MALE,37.0,GENERAL,12th Pass,303581,1564519
585,Gujarat,Loser,IND,Boat with Man and Sail,MALE,51.0,ST,Graduate Professional,11142,1598939
584,Gujarat,Loser,BSP,Elephant,MALE,64.0,ST,10th Pass,11339,1598939
583,Gujarat,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,31936,1598939
582,Gujarat,Loser,INC,Hand,MALE,58.0,ST,Graduate,434164,1598939
581,Gujarat,Winner,BJP,Lotus,MALE,52.0,ST,Graduate Professional,561760,1598939
227,Gujarat,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,12728,1697384
228,Gujarat,Loser,BSP,Elephant,MALE,49.0,GENERAL,Literate,11088,1697384
748,Gujarat,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,14214,1945772
747,Gujarat,Loser,INC,Hand,MALE,61.0,GENERAL,Graduate Professional,337610,1945772
746,Gujarat,Winner,BJP,Lotus,MALE,54.0,GENERAL,12th Pass,894624,1945772
2038,Gujarat,Loser,IND,Cup & Saucer,MALE,36.0,GENERAL,5th Pass,11103,1849429
2037,Gujarat,Loser,BSP,Elephant,MALE,35.0,SC,Graduate Professional,12860,1849429
229,Gujarat,Loser,IND,DIAMOND,FEMALE,33.0,GENERAL,Graduate,11069,1697384
2198,Gujarat,Winner,BJP,Lotus,MALE,69.0,ST,Graduate Professional,771980,1671030
1757,Gujarat,Winner,BJP,Lotus,MALE,67.0,GENERAL,8th Pass,758645,1884339
1758,Gujarat,Loser,INC,Hand,MALE,61.0,GENERAL,Graduate,390238,1884339
387,Gujarat,Loser,BTP,Auto- Rickshaw,MALE,73.0,ST,10th Pass,144083,1564519
224,Gujarat,Winner,BJP,Lotus,MALE,70.0,GENERAL,Graduate Professional,679108,1697384
1020,Gujarat,Loser,BSP,Elephant,MALE,48.0,SC,12th Pass,25691,1642864
1347,Gujarat,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,12067,1648869
966,Gujarat,Loser,INC,Hand,MALE,60.0,GENERAL,Graduate,354784,1657166
225,Gujarat,Loser,INC,Hand,MALE,75.0,GENERAL,10th Pass,310812,1697384
226,Gujarat,Loser,IND,Gas Cylinder,MALE,39.0,GENERAL,8th Pass,48634,1697384
1166,Gujarat,Winner,BJP,Lotus,MALE,54.0,GENERAL,Others,714572,1804028
1167,Gujarat,Loser,INC,Hand,MALE,58.0,GENERAL,Graduate,347427,1804028
1168,Gujarat,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,18277,1804028
69,Gujarat,Winner,BJP,Lotus,MALE,64.0,GENERAL,12th Pass,529035,1628451
70,Gujarat,Loser,INC,Hand,MALE,42.0,GENERAL,Graduate,327604,1628451
71,Gujarat,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,17567,1628451
72,Gujarat,Loser,BSP,Elephant,MALE,47.0,SC,Literate,9691,1628451
1634,Gujarat,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,20133,1744762
1826,Gujarat,Loser,IND,Gas Cylinder,MALE,38.0,GENERAL,10th Pass,17175,1801717
388,Gujarat,Loser,IND,Air Conditioner,MALE,40.0,GENERAL,5th Pass,15110,1564519
1825,Gujarat,Loser,INC,Hand,MALE,46.0,GENERAL,Graduate,432997,1801717
1632,Gujarat,Winner,BJP,Lotus,MALE,59.0,GENERAL,Graduate Professional,732136,1744762
86,Gujarat,Winner,BJP,Lotus,MALE,54.0,GENERAL,Others,633097,1655870
1824,Gujarat,Winner,BJP,Lotus,MALE,67.0,GENERAL,8th Pass,701983,1801717
87,Gujarat,Loser,INC,Hand,MALE,65.0,GENERAL,Graduate Professional,435379,1655870
88,Gujarat,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,18392,1655870
1647,Gujarat,Winner,BJP,Lotus,MALE,64.0,GENERAL,Graduate,633368,1807043
1345,Gujarat,Winner,BJP,Lotus,FEMALE,71.0,GENERAL,12th Pass,659525,1648869
1346,Gujarat,Loser,INC,Hand,MALE,73.0,GENERAL,Graduate Professional,378006,1648869
1648,Gujarat,Loser,INC,Hand,MALE,62.0,GENERAL,10th Pass,439489,1807043
1649,Gujarat,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,14327,1807043
965,Gujarat,Winner,BJP,Lotus,FEMALE,44.0,GENERAL,Graduate,591588,1657166
1633,Gujarat,Loser,INC,Hand,MALE,68.0,GENERAL,8th Pass,303595,1744762
389,Gujarat,Winner,BJP,Lotus,FEMALE,55.0,GENERAL,Graduate Professional,661273,1768297
1023,Gujarat,Loser,INC,Hand,MALE,52.0,SC,Graduate,331521,1744321
2034,Gujarat,Loser,INC,Hand,MALE,45.0,GENERAL,8th Pass,247421,1655704
2201,Gujarat,Loser,BSP,Elephant,MALE,54.0,ST,10th Pass,15359,1671030
1024,Gujarat,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,18761,1744321
2183,Gujarat,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,16999,1794896
2182,Gujarat,Loser,INC,Hand,MALE,44.0,GENERAL,Graduate,294542,1794896
2181,Gujarat,Winner,BJP,Lotus,FEMALE,56.0,GENERAL,12th Pass,883719,1794896
1019,Gujarat,Loser,INC,Hand,MALE,55.0,GENERAL,Graduate,397533,1642864
1018,Gujarat,Winner,BJP,Lotus,MALE,36.0,GENERAL,12th Pass,547744,1642864
528,Gujarat,Loser,BSP,Elephant,MALE,48.0,ST,Literate,14964,1671253
2200,Gujarat,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,19307,1671030
2199,Gujarat,Loser,INC,Hand,MALE,54.0,ST,8th Pass,418183,1671030
305,Gujarat,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,22914,1826526
15,Gujarat,Loser,BSP,Elephant,MALE,66.0,SC,8th Pass,10028,1643317
14,Gujarat,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,14719,1643317
13,Gujarat,Loser,INC,Hand,MALE,68.0,SC,Graduate,320076,1643317
2033,Gujarat,Winner,BJP,Lotus,FEMALE,58.0,GENERAL,Graduate,795651,1655704
12,Gujarat,Winner,BJP,Lotus,MALE,69.0,SC,Post Graduate,641622,1643317
525,Gujarat,Winner,BJP,Lotus,FEMALE,47.0,ST,12th Pass,764445,1671253
303,Gujarat,Winner,BJP,Lotus,MALE,49.0,ST,Others,742273,1826526
10,Gujarat,Winner,BJP,Lotus,MALE,58.0,GENERAL,Others,749834,1811851
391,Gujarat,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,16383,1768297
1567,Gujarat,Loser,INC,Hand,MALE,47.0,GENERAL,12th Pass,283071,1971658
2036,Gujarat,Loser,INC,Hand,MALE,79.0,GENERAL,5th Pass,354407,1849429
2035,Gujarat,Winner,BJP,Lotus,MALE,50.0,GENERAL,Post Graduate,631844,1849429
11,Gujarat,Loser,INC,Hand,FEMALE,38.0,GENERAL,10th Pass,315504,1811851
1686,Gujarat,Loser,INC,Hand,MALE,57.0,GENERAL,12th Pass,334058,1662368
1759,Gujarat,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,18318,1884339
527,Gujarat,Loser,NOTA,NOTA,NOTA,0.0,NOTA,NOTA,32868,1671253
1687,Gujarat,Loser,BSP,Elephant,MALE,44.0,GENERAL,8th Pass,10092,1662368
390,Gujarat,Loser,INC,Hand,MALE,50.0,GENERAL,10th Pass,331754,1768297
526,Gujarat,Loser,INC,Hand,MALE,53.0,ST,Graduate,386502,1671253
1760,Gujarat,Loser,BSP,Elephant,MALE,48.0,SC,12th Pass,15388,1884339
1108,Haryana,Loser,INC,Hand,MALE,62.0,GENERAL,Graduate Professional,255452,1904193
1955,Haryana,Winner,BJP,Lotus,FEMALE,51.0,SC,Post Graduate,714351,1803349
1107,Haryana,Winner,BJP,Lotus,MALE,51.0,GENERAL,Graduate,911594,1904193
1250,Haryana,Winner,BJP,Lotus,MALE,49.0,GENERAL,Graduate Professional,688629,1657335
828,Haryana,Loser,BSP,Elephant,MALE,58.0,GENERAL,Graduate,26756,2150728
1958,Haryana,Loser,INLD,Spectacles,MALE,49.0,SC,10th Pass,88093,1803349
1820,Haryana,Winner,BJP,Lotus,MALE,56.0,GENERAL,Post Graduate,573845,1737133
1821,Haryana,Loser,INC,Hand,MALE,41.0,GENERAL,Post Graduate,566342,1737133
1822,Haryana,Loser,BSP,Elephant,MALE,51.0,GENERAL,5th Pass,38364,1737133
1111,Haryana,Loser,INLD,Spectacles,MALE,56.0,GENERAL,12th Pass,15797,1904193
1110,Haryana,Loser,AAP,Broom,MALE,41.0,GENERAL,Graduate Professional,22084,1904193
1109,Haryana,Loser,BSP,Elephant,MALE,31.0,GENERAL,10th Pass,67183,1904193
1959,Haryana,Loser,BSP,Elephant,MALE,50.0,SC,Post Graduate,25107,1803349
58,Haryana,Loser,INLD,Spectacles,MALE,61.0,SC,10th Pass,19575,1853711
57,Haryana,Loser,BSP,Elephant,MALE,55.0,SC,10th Pass,96296,1853711
56,Haryana,Loser,INC,Hand,FEMALE,56.0,SC,Post Graduate,404163,1853711
55,Haryana,Winner,BJP,Lotus,MALE,67.0,SC,Post Graduate,746508,1853711
1957,Haryana,Loser,JNJP,Chappals,MALE,37.0,SC,12th Pass,95914,1803349
1823,Haryana,Loser,JNJP,Chappals,MALE,32.0,GENERAL,Post Graduate,21211,1737133
1956,Haryana,Loser,INC,Hand,MALE,43.0,SC,Doctorate,404433,1803349
406,Haryana,Loser,INC,Hand,FEMALE,43.0,GENERAL,Graduate Professional,292236,1654317
710,Haryana,Loser,BSP,Elephant,MALE,43.0,GENERAL,10th Pass,86752,2071816
709,Haryana,Loser,INC,Hand,MALE,62.0,GENERAL,8th Pass,274983,2071816
1254,Haryana,Loser,INLD,Spectacles,MALE,26.0,GENERAL,12th Pass,60679,1657335
1986,Haryana,Loser,JNJP,Chappals,MALE,28.0,GENERAL,12th Pass,51162,1592611
1985,Haryana,Loser,INC,Hand,MALE,72.0,GENERAL,Graduate Professional,422800,1592611
1252,Haryana,Loser,BSP,Elephant,FEMALE,59.0,GENERAL,Graduate Professional,75625,1657335
1984,Haryana,Winner,BJP,Lotus,MALE,62.0,GENERAL,Graduate Professional,587664,1592611
408,Haryana,Loser,LTSP,Auto- Rickshaw,MALE,46.0,GENERAL,Graduate Professional,20234,1654317
407,Haryana,Loser,JNJP,Chappals,FEMALE,30.0,GENERAL,Post Graduate,84956,1654317
1251,Haryana,Loser,INC,Hand,MALE,66.0,GENERAL,Graduate,304038,1657335
405,Haryana,Winner,BJP,Lotus,MALE,64.0,GENERAL,Graduate,736699,1654317
878,Haryana,Winner,BJP,Lotus,MALE,46.0,GENERAL,Post Graduate,603289,1631817
1253,Haryana,Loser,JNJP,Chappals,MALE,57.0,GENERAL,Graduate,68513,1657335
1987,Haryana,Loser,LTSP,Auto- Rickshaw,FEMALE,44.0,GENERAL,Post Graduate,35046,1592611
