,STATE,CONSTITUENCY,NAME,PARTY,SYMBOL,GENDER,CATEGORY,EDUCATION
1247,Andhra Pradesh,KURNOOL,AHMED ALI KHAN,INC,Hand,MALE,GENERAL,12th Pass
1248,Andhra Pradesh,KURNOOL,Dr. PARTHASARATHI VALMIKI,BJP,Lotus,MALE,GENERAL,Post Graduate
1249,Andhra Pradesh,KURNOOL,K. PRABHAKARA REDDY,CPI(M),"Hammer, Sickle and Star",MALE,GENERAL,Graduate Professional
1250,Haryana,KURUKSHETRA,NAYAB SINGH,BJP,Lotus,MALE,GENERAL,Graduate Professional
1251,Haryana,KURUKSHETRA,NIRMAL SINGH,INC,Hand,MALE,GENERAL,Graduate
1252,Haryana,KURUKSHETRA,SHASHI,BSP,Elephant,FEMALE,GENERAL,Graduate Professional
1253,Haryana,KURUKSHETRA,JAI BHAGWAN SHARMA (DD),JNJP,Chappals,MALE,GENERAL,Graduate
1254,Haryana,KURUKSHETRA,ARJUN SINGH CHAUTALA,INLD,Spectacles,MALE,GENERAL,12th Pass
1255,Uttar Pradesh,KUSHI NAGAR,VIJAY KUMAR DUBEY,BJP,Lotus,MALE,GENERAL,12th Pass
1256,Uttar Pradesh,KUSHI NAGAR,N.P. KUSHWAHA ALIAS NATHUNI PRASAD KUSHWAHA,SP,Bicycle,MALE,GENERAL,Post Graduate
1257,Uttar Pradesh,KUSHI NAGAR,KUNWER RATANJIT PRATAP NARAYAN SINGH,INC,Hand,MALE,GENERAL,Graduate
1258,Jammu & Kashmir,LADAKH,Jamyang Tsering Namgyal,BJP,Lotus,MALE,ST,Graduate
1259,Jammu & Kashmir,LADAKH,Sajjad Hussain,IND,Battery torch,MALE,ST,Post Graduate
1260,Jammu & Kashmir,LADAKH,Asgar Ali Karbalai,IND,Cup & Saucer,MALE,ST,10th Pass
1261,Jammu & Kashmir,LADAKH,Rigzin Spalbar,INC,Hand,MALE,ST,Graduate
1262,Assam,LAKHIMPUR,PRADAN BARUAH,BJP,Lotus,MALE,ST,12th Pass
1263,Assam,LAKHIMPUR,ANIL BORGOHAIN,INC,Hand,MALE,GENERAL,10th Pass
1264,Assam,LAKHIMPUR,NOTA,NOTA,,,,
1265,Assam,LAKHIMPUR,ARUP KALITA,CPI(M),Ears of Corn And Sickle,MALE,GENERAL,Graduate Professional
1266,Lakshadweep,LAKSHADWEEP,MOHAMMED FAIZAL PP,NCP,Clock,MALE,ST,Post Graduate
1267,Lakshadweep,LAKSHADWEEP,HAMDULLAH SAYEED,INC,Hand,MALE,ST,Graduate Professional
1268,Lakshadweep,LAKSHADWEEP,DR. MOHAMMED SADIQUE KP,JD(U),Arrow,MALE,ST,Post Graduate
1269,Uttar Pradesh,LALGANJ,Sangeeta Azad,BSP,Elephant,FEMALE,SC,Graduate Professional
1270,Uttar Pradesh,LALGANJ,Neelam Sonker,BJP,Lotus,FEMALE,SC,Post Graduate
1271,Uttar Pradesh,LALGANJ,Dr. Deelip Kumar Saroj,SBSP,Walking Stick,MALE,SC,Doctorate
1272,Uttar Pradesh,LALGANJ,Pankaj Mohan Sonkar,INC,Hand,MALE,SC,Graduate
1273,Maharashtra,LATUR,Sudhakar Tukaram Shrangare,BJP,Lotus,MALE,SC,10th Pass
1274,Maharashtra,LATUR,Kamant Machhindra Gunwantrao,INC,Hand,MALE,SC,Post Graduate
1275,Maharashtra,LATUR,Ram Garkar,VBA,Whistle,MALE,SC,Post Graduate
1276,Jharkhand,LOHARDAGA,SUDARSHAN BHAGAT,BJP,Lotus,MALE,ST,Graduate
1277,Jharkhand,LOHARDAGA,SUKHDEO BHAGAT,INC,Hand,MALE,ST,Post Graduate
1278,Jharkhand,LOHARDAGA,DEOKUMAR DHAN,JKP,Basket containing Fruits,MALE,ST,Graduate
1279,Jharkhand,LOHARDAGA,NOTA,NOTA,,,,
1280,Jharkhand,LOHARDAGA,SANJAY ORAON,IND,Air Conditioner,MALE,ST,8th Pass
1281,Jharkhand,LOHARDAGA,DINESH ORAON,AITC,Flowers and Grass,MALE,ST,12th Pass
1282,Jharkhand,LOHARDAGA,RAGHUNATH MAHLI,IND,Tractor Chalata Kisan,MALE,ST,8th Pass
1283,Uttar Pradesh,LUCKNOW,Rajnath Singh,BJP,Lotus,MALE,GENERAL,Post Graduate
1284,Uttar Pradesh,LUCKNOW,Poonam Shatrughan Sinha,SP,Bicycle,FEMALE,GENERAL,Graduate
1285,Uttar Pradesh,LUCKNOW,Acharya Pramod Krishnam,INC,Hand,MALE,GENERAL,Post Graduate
1286,Punjab,LUDHIANA,RAVNEET SINGH BITTU,INC,Hand,MALE,GENERAL,12th Pass
1287,Punjab,LUDHIANA,SIMARJEET SINGH BAINS,LIP,Letter Box,MALE,GENERAL,Graduate
1288,Punjab,LUDHIANA,MAHESHINDER SINGH GREWAL,SAD,Scales,MALE,GENERAL,Graduate Professional
1289,Punjab,LUDHIANA,PROF. TEJ PAL SINGH GILL,AAP,Broom,MALE,GENERAL,Doctorate
1290,Punjab,LUDHIANA,NOTA,NOTA,,,,
1291,Uttar Pradesh,MACHHLISHAHR,Bholanath (B.P. Saroj),BJP,Lotus,MALE,SC,Graduate
1292,Uttar Pradesh,MACHHLISHAHR,Tribhuvan Ram (T.Ram),BSP,Elephant,MALE,SC,Graduate
1293,Uttar Pradesh,MACHHLISHAHR,Raj Nath,SBSP,Walking Stick,MALE,SC,Post Graduate
1294,Uttar Pradesh,MACHHLISHAHR,NOTA,NOTA,,,,
1295,Andhra Pradesh,MACHILIPATNAM,BALASHOWRY VALLABHANENI,YSRCP,Ceiling Fan,MALE,GENERAL,Post Graduate
1296,Andhra Pradesh,MACHILIPATNAM,KONAKALLA NARAYANA RAO,TDP,Bicycle,MALE,GENERAL,12th Pass
1297,Andhra Pradesh,MACHILIPATNAM,BANDREDDI RAMAKRISHNA,JnP,Glass Tumbler,MALE,GENERAL,Post Graduate
1298,Andhra Pradesh,MACHILIPATNAM,NOTA,NOTA,,,,
1299,Maharashtra,MADHA,Ranjeetsinha Hindurao Naik- Nimbalkar,BJP,Lotus,MALE,GENERAL,12th Pass
1300,Maharashtra,MADHA,Sanjaymama Vitthalrao Shinde,NCP,Clock,MALE,GENERAL,Graduate
1301,Maharashtra,MADHA,Adv. Vijayrao More,VBA,Key,MALE,GENERAL,Graduate Professional
1302,Maharashtra,MADHA,Daulat Umaji Shitole,IND,Tent,MALE,GENERAL,Literate
1303,Bihar,MADHEPURA,Dinesh Chandra Yadav,JD(U),Arrow,MALE,GENERAL,Graduate Professional
1304,Bihar,MADHEPURA,Sharad Yadav,RJD,Hurricane Lamp,MALE,GENERAL,Graduate Professional
1305,Bihar,MADHEPURA,Rajesh Ranjan @ Pappu Yadav,JAPL,HOCKEY & BALL,MALE,GENERAL,Graduate
1306,Bihar,MADHEPURA,NOTA,NOTA,,,,
1307,Bihar,MADHEPURA,Suman Kumar Jha,IND,COCONUT FARM,MALE,GENERAL,Post Graduate
1308,Bihar,MADHUBANI,ASHOK KUMAR YADAV,BJP,Lotus,MALE,GENERAL,Doctorate
1309,Bihar,MADHUBANI,BADRI KUMAR PURBEY,VSIP,Boat with Man and Sail,MALE,GENERAL,Not Available
1310,Bihar,MADHUBANI,DR. SHAKEEL AHMAD,IND,Helicopter,MALE,GENERAL,Graduate Professional
1311,Bihar,MADHUBANI,HEMA JHA,IND,Bat,FEMALE,GENERAL,10th Pass
1312,Bihar,MADHUBANI,ABUBAKAR RAHMANI,IND,Almirah,MALE,GENERAL,Post Graduate
1313,Bihar,MADHUBANI,ANAND KUMAR JHA,AKBMP,DIAMOND,MALE,GENERAL,Post Graduate
1314,Tamil Nadu,MADURAI,VENKATESAN S,CPI(M),"Hammer, Sickle and Star",MALE,GENERAL,12th Pass
1315,Tamil Nadu,MADURAI,RAJ SATYEN V.V.R,AIADMK,Two Leaves,MALE,GENERAL,Post Graduate
1316,Tamil Nadu,MADURAI,DAVID ANNADURAI K,IND,Gift Pack,MALE,GENERAL,Graduate Professional
1317,Tamil Nadu,MADURAI,ALAGAR M,MNM,Battery Torch,MALE,GENERAL,Graduate Professional
1318,Tamil Nadu,MADURAI,PANDIAMMAL J,NTK,Ganna Kisan,FEMALE,GENERAL,Post Graduate
1319,Tamil Nadu,MADURAI,NOTA,NOTA,,,,
1320,Telangana,MAHABUBABAD,Kavitha Malothu,TRS,Car,FEMALE,ST,Graduate
1321,Telangana,MAHABUBABAD,Balaram Naik Porika,INC,Hand,MALE,ST,10th Pass
1322,Telangana,MAHABUBABAD,Arun Kumar Mypathi,TJS,BOX,MALE,ST,Post Graduate
